source,feed_url,title,link,summary,published,country
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,DOJ Says Anthropic Can't Be Trusted With Military AI Systems,https://www.techbuzz.ai/articles/doj-says-anthropic-can-t-be-trusted-with-military-ai-systems,Justice Dept defends penalizing Anthropic for restricting Claude military use,2026-03-18 01:11:26,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,"Nvidia locks $1 trillion in Blackwell, Vera Rubin orders",https://www.techbuzz.ai/articles/nvidia-locks-1-trillion-in-blackwell-vera-rubin-orders,Jensen Huang reveals unprecedented trillion-dollar AI chip demand at GTC 2026,2026-03-17 23:41:00,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Nvidia pivots to CPUs as agentic AI reshapes chip demand,https://www.techbuzz.ai/articles/nvidia-pivots-to-cpus-as-agentic-ai-reshapes-chip-demand,Jensen Huang set to unveil CPU-focused processors at GTC as AI workloads shift beyond GPUs,2026-03-17 23:20:15,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Nvidia CEO Calls OpenClaw 'The Next ChatGPT',https://www.techbuzz.ai/articles/nvidia-ceo-calls-openclaw-the-next-chatgpt,Jensen Huang's endorsement signals major shift in AI interaction landscape,2026-03-17 23:20:15,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Nvidia Restarts China H200 Sales After Regulatory Freeze,https://www.techbuzz.ai/articles/nvidia-restarts-china-h200-sales-after-regulatory-freeze,"Jensen Huang confirms orders received, manufacturing restart for advanced AI chips",2026-03-17 22:10:23,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Comcast and Nvidia Turn Cable into an Edge AI Powerhouse,https://www.techbuzz.ai/articles/comcast-and-nvidia-turn-cable-into-an-edge-ai-powerhouse,Your internet service provider just became an AI factory.,2026-03-17 21:25:58,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,"OpenAI Hires DocuSign CFO, Eyes IPO by Year-End",https://www.techbuzz.ai/articles/openai-hires-docusign-cfo-eyes-ipo-by-year-end,AI giant taps Cynthia Gaylor for investor relations as ChatGPT pivots to enterprise,2026-03-17 21:20:51,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Apple Ships First Silent Security Patch for Safari Bug,https://www.techbuzz.ai/articles/apple-ships-first-silent-security-patch-for-safari-bug,"Apple debuts background security updates, patching Safari without user action",2026-03-17 21:20:50,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Mistral Forge lets enterprises build AI from scratch,https://www.techbuzz.ai/articles/mistral-forge-lets-enterprises-build-ai-from-scratch,"French AI startup launches custom training platform, challenging OpenAI's approach",2026-03-17 21:20:49,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,"Kagi's 'Small Web' Goes Mobile, Curating Human Internet",https://www.techbuzz.ai/articles/kagi-s-small-web-goes-mobile-curating-human-internet,Search engine Kagi launches mobile apps for its Small Web collection of 30K+ indie sites,2026-03-17 21:20:49,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,"Mistral bets on ‘build-your-own AI’ as it takes on OpenAI, Anthropic in the enterprise",https://techcrunch.com/2026/03/17/mistral-forge-nvidia-gtc-build-your-own-ai-enterprise/,"Mistral Forge lets enterprises train custom AI models from scratch on their own data, challenging rivals that rely on fine-tuning and retrieval-based approaches.",2026-03-17 21:00:00,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,"Why Garry Tan’s Claude Code setup has gotten so much love, and hate",https://techcrunch.com/2026/03/17/why-garry-tans-claude-code-setup-has-gotten-so-much-love-and-hate/,"Thousands of people are trying Garry Tan's Claude Code setup, which was shared on GitHub. And everyone has an opinion: even Claude, ChatGPT, and Gemini.",2026-03-17 20:50:04,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Tesla locks in $4.3B battery deal with LG Energy in Michigan,https://www.techbuzz.ai/articles/tesla-locks-in-4-3b-battery-deal-with-lg-energy-in-michigan,Tesla secures massive battery supply from ex-GM Michigan plant in strategic US expansion,2026-03-17 19:45:45,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,"Pentagon Ditches Anthropic, Builds Own AI Arsenal",https://www.techbuzz.ai/articles/pentagon-ditches-anthropic-builds-own-ai-arsenal,Defense department seeks alternative AI solutions after relationship with Anthropic sours,2026-03-17 18:43:47,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,"The Pentagon is developing alternatives to Anthropic, report says",https://techcrunch.com/2026/03/17/the-pentagon-is-developing-alternatives-to-anthropic-report-says/,"After their dramatic falling-out, it doesn't seem as though Anthropic and the Pentagon are getting back together.",2026-03-17 18:20:15,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,BuzzFeed's AI Apps Draw Crickets at SXSW Debut,https://www.techbuzz.ai/articles/buzzfeed-s-ai-apps-draw-crickets-at-sxsw-debut,Legacy media company unveils new AI social apps to muted reception at SXSW,2026-03-17 18:13:57,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,BuzzFeed debuts AI slop apps in bid for new revenue,https://techcrunch.com/2026/03/17/buzzfeed-ai-slop-apps-sxsw-bf-island-conjure/,"BuzzFeed unveiled new AI-powered social apps at SXSW, but its demos drew muted reactions.",2026-03-17 17:17:15,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,OpenAI locks AWS deal to power U.S. government AI systems,https://www.techbuzz.ai/articles/openai-locks-aws-deal-to-power-u-s-government-ai-systems,OpenAI partners with AWS to deliver AI to federal agencies for classified work,2026-03-17 17:03:50,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Pro-Iran Hackers Wipe Thousands of Stryker Devices in First Major U.S. Cyberattack,https://www.techbuzz.ai/articles/pro-iran-hackers-wipe-thousands-of-stryker-devices-in-first-major-u-s-cyberattack,Stryker restoring systems after wiper malware attack marks escalation in geopolitical cyber warfare,2026-03-17 17:03:50,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Microsoft frees Suleyman to build superintelligence models,https://www.techbuzz.ai/articles/microsoft-frees-suleyman-to-build-superintelligence-models,Leadership shakeup consolidates Copilot engineering as Suleyman pivots to AI research,2026-03-17 17:03:50,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Google Doubles Down on AI-Era Open Source Security,https://www.techbuzz.ai/articles/google-doubles-down-on-ai-era-open-source-security,Tech giant unveils new investments and tools to secure open source code,2026-03-17 17:03:50,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Tim Cook Kills Retirement Talk: 'Can't Imagine Life Without Apple',https://www.techbuzz.ai/articles/tim-cook-kills-retirement-talk-can-t-imagine-life-without-apple,Apple's CEO shuts down succession speculation amid executive shake-up and AI pressure,2026-03-17 17:03:50,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Google DeepMind unveils cognitive framework to track AGI progress,https://www.techbuzz.ai/articles/google-deepmind-unveils-cognitive-framework-to-track-agi-progress,DeepMind launches cognitive evaluation system with Kaggle hackathon for AGI benchmarks,2026-03-17 17:03:50,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Google Expands Personal Intelligence Across Search and Gemini,https://www.techbuzz.ai/articles/google-expands-personal-intelligence-across-search-and-gemini,"Google rolls out Personal Intelligence to AI Mode in Search, Gemini app, and Chrome",2026-03-17 17:03:50,USA
